번호,발생시각,년,월 ,일,규모,위도,경도,위치,위도(숫자)
310,2017-04-08,2017,4,8,2.7,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
309,2017-04-07,2017,4,7,2,35.97 N,127.80 E,전북 무주군 동남동쪽 13km 지역,35.97 
308,2017-04-04,2017,4,4,2.2,35.67 N,129.85 E,울산 동구 동북동쪽 43km 해역,35.67 
307,2017-04-01,2017,4,1,2.2,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,35.78 
306,2017-03-31,2017,3,31,2.5,35.78 N,129.20 E,경북 경주시 남남서쪽 6km 지역,35.78 
305,2017-03-31,2017,3,31,3.3,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,35.78 
304,2017-03-30,2017,3,30,2,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
303,2017-03-28,2017,3,28,2,35.79 N,129.20 E,경북 경주시 남남서쪽 5km 지역,35.79 
302,2017-03-28,2017,3,28,2.2,37.17 N,125.48 E,인천 옹진군 연평도 남남서쪽 58km 해역,37.17 
301,2017-03-27,2017,3,27,2,35.21 N,126.95 E,광주 북구 북동쪽 5km 지역,35.21 
300,2017-03-21,2017,3,21,2.4,38.52 N,126.03 E,북한 황해북도 사리원 동쪽 23km 지역,38.52 
299,2017-03-19,2017,3,19,2.9,33.32 N,127.18 E,제주 서귀포시 성산 동남동쪽 29km 해역,33.32 
298,2017-03-14,2017,3,14,2.1,34.64 N,127.78 E,전남 여수시 남동쪽 17km 지역,34.64 
297,2017-03-09,2017,3,9,2,35.82 N,129.78 E,경북 포항시 남구 동남동쪽 43km 해역,35.82 
296,2017-03-07,2017,3,7,2.6,37.75 N,129.71 E,강원 동해시 동북동쪽 58km 해역,37.75 
295,2017-03-07,2017,3,7,2.2,36.30 N,128.23 E,경북 구미시 북북서쪽 23km 지역,36.30 
294,2017-03-06,2017,3,6,2,35.75 N,126.10 E,전북 부안군 위도 북서쪽 24km 해역,35.75 
293,2017-03-05,2017,3,5,2.1,37.77 N,129.70 E,강원 동해시 동북동쪽 58km 해역,37.77 
292,2017-03-05,2017,3,5,2.1,37.72 N,129.59 E,강원 동해시 동북동쪽 47km 해역,37.72 
291,2017-03-05,2017,3,5,2.4,37.74 N,129.69 E,강원 동해시 동북동쪽 56km 해역,37.74 
290,2017-03-05,2017,3,5,3.2,37.75 N,129.66 E,강원 동해시 동북동쪽 54km 해역,37.75 
289,2017-03-05,2017,3,5,2.4,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
288,2017-03-04,2017,3,4,2.3,35.99 N,127.95 E,경북 김천시 남서쪽 22km 지역,35.99 
287,2017-02-25,2017,2,25,2.4,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,35.74 
286,2017-02-25,2017,2,25,2.2,35.74 N,129.17 E,경북 경주시 남남서쪽 12km 지역,35.74 
285,2017-02-24,2017,2,24,2.5,38.89 N,126.09 E,북한 평양 동남동쪽 33km 지역,38.89 
284,2017-02-24,2017,2,24,2.3,36.38 N,127.79 E,충북 옥천군 동북동쪽 21km 지역,36.38 
283,2017-02-23,2017,2,23,3.1,37.40 N,124.89 E,인천 백령도 남남동쪽 64km 해역,37.40 
282,2017-02-22,2017,2,22,2.1,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
281,2017-02-21,2017,2,21,2.1,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,35.76 
280,2017-02-18,2017,2,18,2.4,35.23 N,126.94 E,광주 북구 북북동쪽 7km 지역,35.23 
279,2017-02-18,2017,2,18,2,33.23 N,126.18 E,제주 서귀포시 서쪽 35km 해역,33.23 
278,2017-02-16,2017,2,16,2.3,35.64 N,128.09 E,경남 합천군 북서쪽 11km 지역,35.64 
277,2017-02-16,2017,2,16,2.9,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,35.78 
276,2017-02-12,2017,2,12,2.3,35.69 N,129.58 E,울산 북구 동북동쪽 23km 해역,35.69 
275,2017-02-10,2017,2,10,2.6,38.54 N,125.84 E,북한 황해북도 사리원 동북동쪽 8km 지역,38.54 
274,2017-02-10,2017,2,10,2.2,35.65 N,129.57 E,울산 북구 동북동쪽 20km 해역,35.65 
273,2017-02-05,2017,2,5,2.6,39.61 N,127.64 E,북한 함경남도 함흥 남남동쪽 34km 해역,39.61 
272,2017-02-05,2017,2,5,2.5,33.61 N,126.73 E,제주 제주시 동북동쪽 22km 해역,33.61 
271,2017-01-29,2017,1,29,2.6,38.70 N,127.16 E,북한 강원 평강 북북서쪽 34km 지역,38.70 
270,2017-01-26,2017,1,26,2,33.54 N,126.87 E,제주 제주시 동쪽 32km 해역,33.54 
269,2017-01-24,2017,1,24,2.6,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
268,2017-01-21,2017,1,21,2.6,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
267,2017-01-18,2017,1,18,2.5,35.02 N,125.06 E,전남 신안군 흑산면 북서쪽 56km 해역,35.02 
266,2017-01-17,2017,1,17,2.8,38.71 N,125.86 E,북한 황해북도 송림 동쪽 20km 지역,38.71 
265,2017-01-16,2017,1,16,2.1,36.33 N,126.59 E,충남 보령시 서쪽 2km 지역,36.33 
264,2017-01-16,2017,1,16,2.7,33.64 N,127.51 E,전남 여수시 거문도 남남동쪽 47km 해역,33.64 
263,2017-01-14,2017,1,14,2.2,35.17 N,127.79 E,경남 하동군 북북동쪽 12km 지역,35.17 
262,2017-01-11,2017,1,11,2.1,36.44 N,128.42 E,경북 의성군 서북서쪽 27km 지역,36.44 
261,2017-01-07,2017,1,7,2.4,38.69 N,125.73 E,북한 황해북도 송림 동남동쪽 10km 지역,38.69 
260,2017-01-06,2017,1,6,2.2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
259,2017-01-06,2017,1,6,3.3,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
258,2017-01-04,2017,1,4,2.5,36.58 N,129.24 E,경북 영덕군 북북서쪽 22km 지역,36.58 
257,2016-12-31,2016,12,31,2.6,39.31 N,126.27 E,북한 평안남도 성천군 북북동쪽 9km 지역,39.31 
256,2016-12-30,2016,12,30,2.5,38.64 N,125.76 E,북한 황해북도 사리원시 북쪽 15km 지역,38.64 
255,2016-12-29,2016,12,29,2.3,36.12 N,129.36 E,경북 포항시 북구 북쪽 9km 지역,36.12 
254,2016-12-29,2016,12,29,2.6,38.71 N,125.76 E,북한 황해북도 송림시 동남동쪽 11km 지역,38.71 
253,2016-12-25,2016,12,25,2.5,35.78 N,129.31 E,경북 경주시 남동쪽 11km 지역,35.78 
